Date,Revenue_Stream_1,Revenue_Stream_2,Revenue_Stream_3,Revenue_Stream_4,Sales_Returns,Net_Revenue,Variable_Costs,Fixed_Costs,Total_COGS,Gross_Profit,Gross_Margin_Pct,GA_Expenses,Total_Salaries_Commissions,Total_Operating_Expenses,EBITDA,Interest_Income,Other_Income,Interest_Expense,Bad_Debt,Depreciation,Amortization,Total_Interest_DA,Net_Income_Before_Taxes,Income_Taxes,Net_Income
2021-12-31,345000.0,125000.0,57200.0,5300.0,-4138.65,528361.35,157388.6565,25000.0,182388.6565,345972.69349999994,0.6548031825189332,27895,288250,316145,29827.693499999936,1000,230,430,350,120,100,2230,27597.693499999936,1500,26097.693499999936
2022-01-31,348450.0,126000.0,57371.59999999999,5301.0599999999995,-2685.6133000000004,534437.0467000001,158805.1544085,25000.0,183805.1544085,350631.89229150006,0.6560770711097862,27895,288250,316145,34486.89229150006,1000,230,430,350,120,100,2230,32256.89229150006,1500,30756.89229150006
2022-02-28,351934.5,127008.0,57543.71479999999,5302.120212,-2708.94167506,539079.39333694,160234.4007981765,25000.0,185234.4007981765,353844.99253876344,0.6563875319893748,27895,288250,316145,37699.99253876344,1000,230,430,350,120,100,2230,35469.99253876344,1500,33969.99253876344
2022-03-31,355453.84500000003,128024.064,57716.34594439998,5303.1806360424,-2732.4871779022124,543764.9484025402,161676.51040536008,25000.0,186676.51040536008,357088.4379971801,0.6566963152851726,27895,288250,316145,40943.437997180095,1000,230,430,350,120,100,2230,38713.437997180095,1500,37213.437997180095
2022-04-30,359008.38345,129048.25651199999,57889.49498223318,5304.241272169608,-2756.2518810820143,548494.1243353209,163131.5989990083,25000.0,188131.5989990083,360362.5253363126,0.6570034378636399,27895,288250,316145,44217.525336312596,1000,230,430,350,120,100,2230,41987.525336312596,1500,40487.525336312596
2022-05-31,362598.4672845,130080.642564096,58063.16346717987,5305.302120424042,-2780.2378771809995,553267.3375590189,164599.78338999936,35000.0,199599.78338999936,353667.5541690195,0.6392344715836268,27895,288250,316145,37522.55416901951,1000,230,430,350,120,100,2230,35292.55416901951,1500,33792.55416901951
2022-06-30,366224.451957345,131121.28770460875,58237.3529575814,5306.363180848127,-2804.4472790019163,558085.0085213813,166081.18144050933,35000.0,201081.18144050933,357003.82708087197,0.6396943505555471,27895,288250,316145,40858.82708087197,1000,230,430,350,120,100,2230,38628.82708087197,1500,37128.82708087197
2022-07-31,369886.69647691847,132170.25800624563,58412.065016454144,5307.4244534842965,-2828.882219765513,562947.561733337,167575.9120734739,35000.0,202575.9120734739,360371.6496598631,0.6401513642767455,27895,288250,316145,44226.64965986309,1000,230,430,350,120,100,2230,41996.64965986309,1500,40496.64965986309
2022-08-31,373585.5634416877,133227.62007029558,58587.3012115035,5308.485938374994,-2853.5448533093086,567855.4258085524,169084.09528213515,35000.0,204084.09528213515,363771.33052641724,0.6406055379473641,27895,288250,316145,47626.33052641724,1000,230,430,350,120,100,2230,45396.33052641724,1500,43896.33052641724
2022-09-30,377321.41907610453,134293.44103085794,58763.06311513801,5309.547635562669,-2878.437354288316,572809.0335033749,170605.85213967436,35000.0,205605.85213967436,367203.18136370054,0.6410568966027611,27895,288250,316145,51058.18136370054,1000,230,430,350,120,100,2230,48828.18136370054,1500,47328.18136370054
2022-10-31,381094.63326686557,135367.7885591048,58939.352304483415,5310.609545089781,-2903.561918377718,577808.8217571658,172141.30480893143,35000.0,207141.30480893143,370667.5169482344,0.6415054651138813,27895,288250,316145,54522.516948234406,1000,230,430,350,120,100,2230,52292.516948234406,1500,50792.516948234406
2022-11-30,384905.5795995342,136450.73086757766,59116.17036139686,5311.671666998799,-2928.9207624775377,582855.2317330299,173690.5765522118,35000.0,208690.5765522118,374164.65518081817,0.6419512681876379,27895,288250,316145,58019.65518081817,1000,230,430,350,120,100,2230,55789.65518081817,1500,54289.65518081817
